date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:52:00	492230/492230	---M-Z	200	added ('OK')	text/html	etag:W/%2256d11738330870fe4a655b1a5141ca54--gzip%22	https://weddingphotographyandfilms.com/wedding-samples	D:/Temp/weddind-akbar/weddingphotographyandfilms.com/wedding-samples.html	(from )
22:52:00	389/389	---M-Z	200	added ('OK')	text/plain	date:Wed,%2009%20Oct%202024%2008:32:25%20GMT	https://weddingphotographyandfilms.com/robots.txt		(from )
22:52:01	0/0	---M--	301	error ('Moved%20Permanently')	image/jpeg	date:Thu,%2010%20Oct%202024%2017:52:06%20GMT	http://static1.squarespace.com/static/5e172dbca759d4338465537b/t/62963e584ab4ff3197f0f834/1654013528646/1A309132.jpg?format=1500w	D:/Temp/weddind-akbar/static1.squarespace.com/static/5e172dbca759d4338465537b/t/62963e584ab4ff3197f0f834/1654013528646/1A309132.126f7.delayed	(from https://weddingphotographyandfilms.com/wedding-samples)
22:52:04	18732/18732	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2010%20Oct%202024%2017:52:07%20GMT	http://use.typekit.net/ik/l4Lypg1WT55-W2px-jAJzyleWhZxJFU-6i0YAFLGLn6fe0tIfFHN4UJLFRbh52jhWDm8wQSkZe4RjQSu5AbXwDwtF2juFQwajynfMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0SaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdP37O1i8ZesTdcSlSeyzieNDOAB0Zfuc-AUlSkoDSWmyScmDSeBRZPoRdhXCjAFu-WsoShFGZAsude80ZkoRdhXCjAFu-WsoShFGZAsude80Zko0ZWbCjWw0dA9CdeNRjAUGdaFXOYFUiABkZWF3jAF8ShFGZAsude80ZkoRdhXCihmqZe80Zku3-eNXdawljAoqOAZTdeuDO1FUiABkZWF3jAF8OcFzdPUaZAsq-Ao1SeyzieN1ScB3-Y8ydcsc-AUlSkoRdhXCiaiaOcBRiA8XpWFR-emqiAUTdcS0jhNlOYiaikoyjamTiY8Djhy8ZYmC-Ao1Oco8ifUaiaS0jWw0dA9CiaiaO1FUiABkZWF3jAF8ShFGZAsude80ZkoRdhXCiaiaO1i8ZesTdcSlSeyzieNDOAB0Zfuc-AUlSkoDSWmyScmDSeBRZPoRdhXCiaiaO1i8ZesTdci3-eNXdhikjWgGpAB0ZeZTdeuDOcFzdPJOda43-emuSku3ScvKIcBqdh48OAiyScBldhoqOWgkdkGHf50rMsMMeMb6MKGHfFAFMyMMeM96MKGHf5crMsMMeMS6MKGHf57rMsMMeMt6MKG4fVwXIMIjgfMfH6qJv2bbMs6YJMJ7fbRkFgMgeMt6MKG4fVIXIMIjIPMfqMYTNG7cg6.js	D:/Temp/weddind-akbar/use.typekit.net/ik/l4Lypg1WT55-W2px-jAJzyleWhZxJFU-6i0YAFLGLn6fe0tIfFHN4UJLFRbh52jhWDm8wQSkZe4RjQSu5AbXwDwtF2juFQwajynfMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0SaBujW48SagyjhmDjhy	(from https://weddingphotographyandfilms.com/wedding-samples)
22:52:05	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	D:/Temp/weddind-akbar/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://weddingphotographyandfilms.com/wedding-samples)
22:52:07	46591/46591	---M-Z	200	added ('OK')	text/javascript	etag:%22fafdc3bf6c9510b2f77d5f6404376a4e%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-5439db50117b2dcdb689-min.en-US.js	D:/Temp/weddind-akbar/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-5439db50117b2dcdb689-min.en-US.js	(from https://weddingphotographyandfilms.com/wedding-samples)
22:52:08	86943/86943	---M--	200	added ('OK')	image/jpeg	etag:CMqTwLHwwfcCEAE=	https://images.squarespace-cdn.com/content/5e172dbca759d4338465537b/f69b54f9-170d-400e-94bb-e5c9457695a4/1A309132.jpg?content-type=image%2Fjpeg	D:/Temp/weddind-akbar/images.squarespace-cdn.com/content/5e172dbca759d4338465537b/f69b54f9-170d-400e-94bb-e5c9457695a4/1A309132ee8a.jpg	(from https://weddingphotographyandfilms.com/wedding-samples)
22:52:10	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	D:/Temp/weddind-akbar/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://weddingphotographyandfilms.com/wedding-samples)
22:52:10	89232/89232	---M-Z	200	added ('OK')	text/javascript	etag:%2235734de37386c26b69c1a71f9f80b994%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-e755ccfc180e7a2ab623-min.en-US.js	D:/Temp/weddind-akbar/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-e755ccfc180e7a2ab623-min.en-US.js	(from https://weddingphotographyandfilms.com/wedding-samples)
22:52:21	245728/245728	---M-Z	200	added ('OK')	text/javascript	etag:%22e99f3bf72eaae471251ad87586359fe8%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-61293f01d648eef165fc-min.en-US.js	D:/Temp/weddind-akbar/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-61293f01d648eef165fc-min.en-US.js	(from https://weddingphotographyandfilms.com/wedding-samples)
